                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.86346,                0.56727,                 1.0722,                0.99584,                0.99751,                  0.995,                0.81852,                0.71869,                0.34143,                0.99653,              0.0080398,              0.0080398,              0.0080398
                    101,                0.86352,                0.55876,                 1.0676,                0.99366,                0.99775,                0.99498,                  0.816,                0.73277,                0.35156,                 1.0067,                0.00802,                0.00802,                0.00802
                    102,                0.85136,                0.55221,                 1.0712,                 0.9911,                0.99483,                0.99478,                0.80841,                0.75286,                0.35825,                 1.0178,              0.0080002,              0.0080002,              0.0080002
                    103,                0.85078,                0.56277,                 1.0669,                0.99541,                0.99769,                  0.995,                0.82439,                0.70375,                0.34106,                0.98684,              0.0079804,              0.0079804,              0.0079804
                    104,                0.84785,                0.55149,                 1.0826,                0.99591,                0.99826,                  0.995,                0.82628,                0.70025,                0.33284,                0.97892,              0.0079606,              0.0079606,              0.0079606
                    105,                0.84887,                0.54967,                 1.0663,                0.99666,                 0.9964,                  0.995,                0.82709,                0.69093,                 0.3371,                0.98031,              0.0079408,              0.0079408,              0.0079408
                    106,                0.84868,                0.54996,                 1.0713,                0.99443,                0.99773,                  0.995,                0.82671,                0.69865,                0.34127,                0.97832,               0.007921,               0.007921,               0.007921
                    107,                0.85292,                0.55961,                 1.0717,                0.99626,                0.99704,                  0.995,                0.83264,                0.68877,                0.33399,                 0.9694,              0.0079012,              0.0079012,              0.0079012
                    108,                0.84616,                0.55209,                 1.0728,                0.99558,                0.99743,                0.99498,                0.83678,                0.66548,                0.33096,                0.96319,              0.0078814,              0.0078814,              0.0078814
                    109,                0.83667,                0.55488,                 1.0627,                0.99556,                0.99659,                  0.995,                0.83744,                0.66633,                0.32409,                0.96666,              0.0078616,              0.0078616,              0.0078616
                    110,                0.83511,                0.53973,                 1.0646,                0.99608,                0.99752,                  0.995,                0.83883,                0.66651,                0.33032,                0.96532,              0.0078418,              0.0078418,              0.0078418
                    111,                 0.8297,                0.52303,                 1.0466,                0.99606,                0.99728,                  0.995,                 0.8291,                0.69357,                0.33465,                0.97645,               0.007822,               0.007822,               0.007822
                    112,                0.82312,                0.54167,                 1.0609,                0.99497,                0.99654,                  0.995,                0.83746,                0.66675,                0.32228,                0.95384,              0.0078022,              0.0078022,              0.0078022
                    113,                0.82275,                0.52886,                  1.051,                0.99638,                0.99784,                0.99496,                0.83904,                0.66855,                0.32564,                0.96307,              0.0077824,              0.0077824,              0.0077824
                    114,                0.81609,                0.52354,                  1.043,                0.99255,                0.99722,                0.99484,                0.83051,                0.68588,                0.34032,                0.96875,              0.0077626,              0.0077626,              0.0077626
                    115,                0.80946,                0.53275,                  1.051,                0.99175,                0.99451,                0.99484,                0.82998,                 0.6924,                0.33482,                 0.9713,              0.0077428,              0.0077428,              0.0077428
                    116,                0.80786,                0.51504,                 1.0438,                0.99473,                0.99556,                  0.995,                0.83719,                0.67411,                0.32522,                0.96392,               0.007723,               0.007723,               0.007723
